timestamp,position lat,position long,heart rate,cadence,distance,power,temperature,vertical speed,enhanced speed,enhanced altitude
2024-08-16T03:33:17.000Z,,,,,0.00,,,,,
2024-08-16T03:33:18.000Z,,,88,,,,,,,
2024-08-16T03:33:19.000Z,,,90,,,,,,,
2024-08-16T03:33:20.000Z,45.207050,5.658798,91,,,,,,,
2024-08-16T03:33:21.000Z,45.207062,5.658782,92,,,,,,,
2024-08-16T03:33:22.000Z,45.207078,5.658758,94,,,,,,,
2024-08-16T03:33:23.000Z,45.207101,5.658728,95,,,,,,,
2024-08-16T03:33:24.000Z,45.207123,5.658698,97,,,,,,,
2024-08-16T03:33:25.000Z,45.207152,5.658667,99,,,,,,,
2024-08-16T03:33:26.000Z,45.207181,5.658633,99,77,21.00,,31,0.000,,183.8
2024-08-16T03:33:27.000Z,45.207203,5.658602,101,77,25.00,199,31,0.000,3.280,183.8
2024-08-16T03:33:28.000Z,45.207226,5.658573,103,77,28.00,228,31,0.000,3.280,184.2
2024-08-16T03:33:29.000Z,45.207251,5.658544,104,77,32.00,235,31,0.000,3.400,184.2
2024-08-16T03:33:30.000Z,45.207277,5.658508,105,77,35.00,247,31,0.000,3.400,184.2
2024-08-16T03:33:31.000Z,45.207302,5.658480,107,77,39.00,247,30,0.000,3.560,184.2
2024-08-16T03:33:32.000Z,45.207328,5.658454,108,77,43.00,259,30,0.000,3.560,184.6
2024-08-16T03:33:33.000Z,45.207360,5.658434,109,77,46.00,268,30,0.000,3.660,184.8
2024-08-16T03:33:34.000Z,45.207386,5.658414,111,77,50.00,274,30,0.000,3.660,184.8
2024-08-16T03:33:35.000Z,45.207411,5.658388,112,78,53.00,279,30,0.000,3.540,184.8
2024-08-16T03:33:36.000Z,45.207437,5.658365,113,78,57.00,270,30,0.000,3.540,184.6
2024-08-16T03:33:37.000Z,45.207459,5.658347,113,78,59.00,266,30,0.000,3.360,184.6
2024-08-16T03:33:38.000Z,45.207485,5.658330,114,78,63.00,244,30,0.000,3.360,184.6
2024-08-16T03:33:39.000Z,45.207510,5.658317,115,78,66.00,244,30,0.000,3.240,184.6
2024-08-16T03:33:40.000Z,45.207536,5.658296,116,78,69.00,237,30,0.000,3.240,184.6
2024-08-16T03:33:41.000Z,45.207558,5.658280,116,78,72.00,237,30,0.020,3.160,184.6
2024-08-16T03:33:42.000Z,45.207587,5.658260,117,78,75.00,222,30,0.020,3.160,184.6
2024-08-16T03:33:43.000Z,45.207619,5.658232,117,78,79.00,219,30,0.020,3.400,184.8
2024-08-16T03:33:44.000Z,45.207645,5.658216,118,78,83.00,239,30,0.020,3.400,184.8
2024-08-16T03:33:45.000Z,45.207674,5.658205,118,78,86.00,239,30,0.020,3.340,184.8
2024-08-16T03:33:46.000Z,,,118,78,92.00,240,30,0.020,3.340,184.8
2024-08-16T03:33:47.000Z,45.207725,5.658168,118,78,92.00,240,30,0.020,3.300,184.8
2024-08-16T03:33:48.000Z,45.207763,5.658150,119,78,97.00,237,30,0.020,3.300,184.8
2024-08-16T03:33:49.000Z,45.207798,5.658132,119,78,101.00,237,30,0.020,3.520,184.6
2024-08-16T03:33:50.000Z,45.207827,5.658114,119,78,104.00,248,30,0.020,3.520,184.6
2024-08-16T03:33:51.000Z,45.207856,5.658094,120,78,108.00,248,30,0.020,3.520,184.6
2024-08-16T03:33:52.000Z,45.207885,5.658075,120,78,111.00,248,30,0.020,3.520,184.8
2024-08-16T03:33:53.000Z,45.207920,5.658060,121,78,116.00,248,30,0.020,3.580,184.8
2024-08-16T03:33:54.000Z,45.207933,5.658027,121,78,119.00,252,30,0.020,3.580,184.8
2024-08-16T03:33:55.000Z,45.207958,5.658013,121,78,122.00,252,30,0.020,3.460,184.6
2024-08-16T03:33:56.000Z,45.207981,5.658008,122,78,124.00,241,30,0.020,3.460,184.6
2024-08-16T03:33:57.000Z,45.208013,5.658003,122,78,128.00,241,30,0.020,3.380,184.8
2024-08-16T03:33:58.000Z,45.208038,5.658007,122,78,131.00,239,30,0.020,3.380,184.8
2024-08-16T03:33:59.000Z,45.208070,5.658010,122,78,134.00,242,30,0.020,3.360,184.8
2024-08-16T03:34:00.000Z,45.208106,5.658008,124,78,138.00,240,30,0.020,3.360,184.8
2024-08-16T03:34:01.000Z,45.208144,5.658005,123,78,142.00,238,30,0.000,3.460,184.8
2024-08-16T03:34:02.000Z,45.208173,5.658005,124,78,145.00,244,30,0.000,3.460,184.8
2024-08-16T03:34:03.000Z,45.208205,5.658005,125,78,149.00,244,30,0.000,3.440,184.8
2024-08-16T03:34:04.000Z,45.208237,5.658010,125,79,153.00,247,30,0.000,3.440,184.8
2024-08-16T03:34:05.000Z,45.208262,5.658020,125,79,156.00,252,30,0.000,3.420,184.8
2024-08-16T03:34:06.000Z,45.208291,5.658027,125,79,159.00,246,30,0.000,3.420,184.8
2024-08-16T03:34:07.000Z,45.208317,5.658033,126,79,162.00,246,30,0.000,3.380,184.8
2024-08-16T03:34:08.000Z,45.208342,5.658045,126,79,162.00,243,30,0.000,3.380,185.0
2024-08-16T03:34:09.000Z,45.208371,5.658055,127,79,168.00,248,29,0.000,3.360,185.2
2024-08-16T03:34:10.000Z,45.208400,5.658068,127,79,171.00,249,29,0.000,3.360,185.2
2024-08-16T03:34:11.000Z,45.208429,5.658085,128,79,175.00,249,29,0.000,3.360,185.0
2024-08-16T03:34:12.000Z,45.208451,5.658094,129,79,177.00,245,29,0.000,3.360,185.0
2024-08-16T03:34:13.000Z,45.208477,5.658102,129,79,180.00,245,29,0.000,3.300,185.2
2024-08-16T03:34:14.000Z,45.208502,5.658105,129,79,183.00,241,29,0.000,3.300,185.4
2024-08-16T03:34:15.000Z,45.208531,5.658104,130,79,186.00,245,29,0.000,3.280,185.4
2024-08-16T03:34:16.000Z,45.208563,5.658085,130,79,190.00,244,29,0.000,3.280,185.4
2024-08-16T03:34:17.000Z,45.208589,5.658068,131,79,193.00,244,29,0.020,3.300,185.4
2024-08-16T03:34:18.000Z,45.208608,5.658050,131,79,196.00,241,29,0.020,3.300,185.6
2024-08-16T03:34:19.000Z,45.208630,5.658035,131,79,199.00,241,29,0.020,3.280,185.8
2024-08-16T03:34:20.000Z,45.208653,5.658010,132,79,202.00,243,29,0.020,3.280,186.0
2024-08-16T03:34:21.000Z,45.208672,5.657983,132,79,205.00,257,29,0.020,3.280,186.2
2024-08-16T03:34:22.000Z,45.208688,5.657955,132,79,208.00,262,29,0.020,3.280,186.6
2024-08-16T03:34:23.000Z,45.208714,5.657932,132,79,211.00,267,29,0.040,3.260,186.6
2024-08-16T03:34:24.000Z,45.208736,5.657910,133,79,214.00,260,29,0.040,3.260,186.6
2024-08-16T03:34:25.000Z,45.208752,5.657886,133,79,217.00,260,29,0.040,3.240,186.6
2024-08-16T03:34:26.000Z,45.208774,5.657856,133,79,220.00,259,29,0.040,3.240,186.8
2024-08-16T03:34:27.000Z,45.208794,5.657832,134,79,223.00,265,29,0.060,3.220,187.0
2024-08-16T03:34:28.000Z,45.208816,5.657807,133,79,226.00,264,29,0.060,3.220,187.0
2024-08-16T03:34:29.000Z,45.208845,5.657782,134,79,230.00,258,29,0.060,3.240,187.2
2024-08-16T03:34:30.000Z,45.208867,5.657755,134,79,233.00,259,29,0.060,3.240,187.4
2024-08-16T03:34:31.000Z,45.208886,5.657734,134,79,236.00,259,29,0.080,3.220,188.0
2024-08-16T03:34:32.000Z,45.208906,5.657708,134,79,239.00,264,29,0.080,3.220,188.0
2024-08-16T03:34:33.000Z,45.208918,5.657680,134,79,241.00,264,29,0.080,3.200,188.2
2024-08-16T03:34:34.000Z,45.208931,5.657652,134,79,244.00,268,29,0.080,3.200,188.0
2024-08-16T03:34:35.000Z,45.208954,5.657630,134,79,247.00,262,29,0.080,3.200,188.2
2024-08-16T03:34:36.000Z,45.208976,5.657608,134,79,250.00,261,29,0.080,3.200,188.2
2024-08-16T03:34:37.000Z,45.208995,5.657586,135,79,253.00,262,29,0.100,3.180,188.2
2024-08-16T03:34:38.000Z,45.209014,5.657563,135,79,256.00,260,29,0.100,3.180,188.4
2024-08-16T03:34:39.000Z,45.209034,5.657540,135,79,258.00,255,29,0.100,3.160,188.6
2024-08-16T03:34:40.000Z,45.209050,5.657512,134,79,261.00,254,29,0.100,3.160,188.8
2024-08-16T03:34:41.000Z,45.209066,5.657485,134,79,264.00,244,29,0.100,3.140,189.0
2024-08-16T03:34:42.000Z,45.209085,5.657468,134,79,266.00,248,29,0.100,3.140,189.0
2024-08-16T03:34:43.000Z,45.209104,5.657460,134,79,269.00,243,29,0.100,3.100,188.8
2024-08-16T03:34:44.000Z,45.209126,5.657450,134,79,271.00,240,29,0.120,3.100,188.8
2024-08-16T03:34:45.000Z,45.209152,5.657448,137,79,274.00,235,29,0.120,3.100,188.8
2024-08-16T03:34:46.000Z,45.209184,5.657445,139,79,278.00,230,29,0.120,3.100,188.8
2024-08-16T03:34:47.000Z,45.209210,5.657442,140,79,281.00,230,29,0.120,3.100,189.0
2024-08-16T03:34:48.000Z,45.209238,5.657438,138,79,284.00,231,29,0.100,3.100,189.0
2024-08-16T03:34:49.000Z,45.209267,5.657428,136,79,287.00,227,29,0.100,3.100,189.0
2024-08-16T03:34:50.000Z,45.209293,5.657415,136,79,290.00,223,29,0.100,3.100,189.0
2024-08-16T03:34:51.000Z,45.209325,5.657402,136,79,294.00,219,29,0.100,3.120,188.8
2024-08-16T03:34:52.000Z,45.209350,5.657390,136,79,297.00,216,29,0.100,3.120,188.6
2024-08-16T03:34:53.000Z,45.209382,5.657378,136,79,300.00,216,29,0.080,3.120,188.6
2024-08-16T03:34:54.000Z,45.209411,5.657370,138,79,304.00,216,29,0.080,3.120,188.8
2024-08-16T03:34:55.000Z,45.209430,5.657364,138,79,306.00,220,29,0.080,3.100,188.8
2024-08-16T03:34:56.000Z,45.209453,5.657367,140,79,308.00,219,29,0.080,3.100,188.8
2024-08-16T03:34:57.000Z,45.209475,5.657377,145,79,311.00,215,29,0.060,3.080,188.8
2024-08-16T03:34:58.000Z,45.209507,5.657358,149,79,315.00,214,29,0.060,3.080,188.8
2024-08-16T03:34:59.000Z,45.209536,5.657342,155,79,318.00,214,29,0.060,3.100,189.0
2024-08-16T03:35:00.000Z,45.209568,5.657330,155,79,322.00,219,29,0.060,3.100,188.8
2024-08-16T03:35:01.000Z,45.209594,5.657310,157,79,325.00,219,29,0.060,3.120,189.0
2024-08-16T03:35:02.000Z,45.209626,5.657305,156,79,329.00,227,29,0.040,3.120,189.2
2024-08-16T03:35:03.000Z,45.209651,5.657287,154,79,332.00,236,29,0.040,3.120,189.2
2024-08-16T03:35:04.000Z,45.209683,5.657270,154,79,336.00,232,29,0.040,3.120,189.2
2024-08-16T03:35:05.000Z,45.209709,5.657252,153,79,339.00,228,29,0.040,3.140,189.2
2024-08-16T03:35:06.000Z,45.209734,5.657233,153,79,342.00,230,29,0.040,3.140,189.2
2024-08-16T03:35:07.000Z,45.209763,5.657220,151,79,346.00,230,29,0.040,3.140,189.2
2024-08-16T03:35:08.000Z,45.209792,5.657206,152,79,349.00,230,29,0.040,3.140,189.2
2024-08-16T03:35:09.000Z,,,153,79,361.00,226,29,0.020,3.160,189.2
